city,type,latitude,longitude,status,,
Deer Park FS,Love's,29.706999,-95.092708,0,,
Houston1 FS,Love's,29.798591,-95.269023,0,,
Hungerford FS,Love's,29.390748,-96.075801,0,,
Waller FS,Love's,30.064458,-95.905556,0,,
Cleveland FS,Love's,30.354701,-95.09128,0,,
Houston2 FS,Love's,29.797437,-95.369817,0,,
Willis FS,Love's,30.436694,-95.498411,0,,
Fairfield FS,Love's,31.728217,-96.182736,0,,
Alma FS,Love's,32.287637,-96.543987,0,,
Hutchins FS,Love's,32.623952,-96.69378,0,,
Dallas1 FS,Love's,32.655868,-96.754979,0,,
Dallas2 FS,Love's,32.640809,-96.839275,0,,
Rockwall FS,Love's,32.918189,-96.419311,0,,
Anna FS,Love's,33.345047,-96.584193,0,,
Denton FS,Love's,33.263072,-97.179456,0,,
Bridgeport FS,Love's,33.221219,-97.737881,0,,
Rhome FS,Love's,33.05703,-97.484072,0,,
Weatherford FS,Love's,32.742896,-97.742837,0,,
Fort Worth FS,Love's,32.598737,-97.317578,0,,
Midlothian FS,Love's,32.482947,-97.011128,0,,
Italy FS,Love's,32.193688,-96.898726,0,,
Hillsboro FS,Love's,32.00952,-97.093528,0,,
Troy FS,Love's,31.191227,-97.312105,0,,
San Antonio1 FS,Love's,29.31101,-98.617826,0,,
San Antonio2 FS,Love's,29.448396,-98.361512,0,,
San Antonio3 FS,Love's,29.31101,-98.617826,0,,
Natalia FS,Love's,29.184729,-98.84545,0,,
Baytown FS,Love's,29.797963,-95.032623,0,,
Katy FS,Love's,29.779813,-95.881907,0,,
Weimar FS,Love's,29.69051,-96.77705,0,,
Luling FS,Love's,29.653691,-97.592282,0,,
Seguin FS,Love's,29.560811,-98.034476,0,,
Comfort FS,Love's,29.98203,-98.903241,0,,
Sonora FS,Love's,30.571142,-100.585636,0,,
Fort Stockton FS,Love's,30.893377,-102.852146,0,,
Van Horn FS,Love's,31.040102,-104.819253,0,,
El Paso FS,Love's,31.65976,-106.237409,0,,
Anthony FS,Love's,31.997879,-106.581219,0,,
Las Cruces FS,Love's,32.269463,-106.921622,0,,
Lordsburg FS,Love's,32.353872,-108.73557,0,,
Willcox FS,Love's,32.266928,-109.847324,0,,
Benson FS,Love's,31.962406,-110.344844,0,,
Eloy FS,Love's,32.80643,-111.672093,0,,
Chandler FS,Love's,33.279875,-111.962298,0,,
Tolleson FS,Love's,33.457995,-112.23908,0,,
Buckeye FS,Love's,33.431284,-112.591725,0,,
Quartzsite FS,Love's,33.657299,-114.241226,0,,
Coachella FS,Love's,33.717419,-116.171266,0,,
,,,,,,
Brazoria,City,29.18161,-95.4993375,0,,-95.4993375
Freeport,City,28.9541368,-95.3596617,-1,,-95.3596617
Chocolate Bay,City,28.5782264,-96.61216172,-1,,-96.61216172
Texas City,City,29.39013,-94.9175485,-1,,-94.9175485
La Porte,City,29.6657838,-95.0193729,-1,,-95.0193729
San Jacinto,City,30.5083577,-95.1902362,-1,,-95.1902362
Deer Park,City,29.7052284,-95.1238204,-1,,-95.1238204
Pasadena,City,29.6910753,-95.2092076,-1,,-95.2092076
Channel View,City,29.7760599,-95.1146533,-1,,-95.1146533
Mont Belvieu,City,29.8477222,-94.890758,-1,,-94.890758
Baytown,City,29.7355047,-94.9774274,-1,,-94.9774274
Port Arthur,City,29.8988618,-93.9288723,-1,,-93.9288723
Beaumont,City,30.0860459,-94.1018461,0,,-94.1018461
Orange,City,30.1228634,-93.9041169,-1,,-93.9041169
El Paso,City,31.7865623,-106.441207,0,,-106.441207
Van Horn,City,31.0429718,-104.831628,0,,-104.831628
Sonora,City,30.5667344,-100.6428592,0,,-100.6428592
Midland,City,31.9973662,-102.077948,0,,-102.077948
Abilene,City,32.44645,-99.7475905,0,,-99.7475905
Texarkana,City,33.44667445,-94.07714831,0,,-94.07714831
Waco,City,31.549333,-97.1466695,0,,-97.1466695
Centerville,City,31.2578221,-95.9785301,0,,-95.9785301
Corpus Christi,City,27.7635302,-97.4033191,0,,-97.4033191
McAllen ,City,26.204114,-98.2300605,0,,-98.2300605
Laredo,City,27.5236998,-99.497352,0,,-99.497352
Houston,City,29.7589382,-95.3676974,1,,-95.3676974
San Antonio,City,29.4246002,-98.4951405,1,,-98.4951405
Austin,City,30.2711286,-97.7436995,1,,-97.7436995
Dallas,City,32.7762719,-96.7968559,1,,-96.7968559
Amarillo,City,35.2072185,-101.833824,0,,-101.833824
Brownsville,City,25.9140277,-97.4890879,0,,-97.4890879
College Station,City,30.5955289,-96.3071042,0,,-96.3071042
Fort Worth,City,32.753177,-97.3327459,0,,-97.3327459
Killeen,City,31.1171441,-97.727796,0,,-97.727796
League City,City,29.5074538,-95.0949303,0,,-95.0949303
Lubbock,City,33.5635206,-101.879336,0,,-101.879336
Odessa,City,31.8457149,-102.367687,0,,-102.367687
Pearland,City,29.5639758,-95.2864299,0,,-95.2864299
San Angelo,City,31.4649685,-100.4405094,0,,-100.4405094
Sugar Land,City,29.6196787,-95.6349463,0,,-95.6349463
The Woodlands,City,30.1734194,-95.504686,-1,,-95.504686
Tyler,City,32.3512601,-95.3010624,0,,-95.3010624
Wichita Falls,City,33.9004572,-98.5020777,0,,-98.5020777
